username,display_name,date,followers,following,tweets,change,percent_change
elonmusk,Elon Musk,2016-06-11,4146831,53,1906,,
elonmusk,Elon Musk,2016-06-12,4155258,53,1914,8427.0,0.0020321541919601227
elonmusk,Elon Musk,2016-06-13,4162824,53,1914,7566.0,0.0018208255660658867
elonmusk,Elon Musk,2016-06-14,4170338,53,1914,7514.0,0.0018050246659480074
elonmusk,Elon Musk,2016-06-15,4180739,53,1921,10401.0,0.0024940424493171687
elonmusk,Elon Musk,2016-06-16,4190212,53,1925,9473.0,0.0022658673502460314
elonmusk,Elon Musk,2016-06-17,4200998,53,1925,10786.0,0.002574094103114488
elonmusk,Elon Musk,2016-06-18,4211063,53,1925,10065.0,0.002395859269630707
elonmusk,Elon Musk,2016-06-19,4221028,53,1929,9965.0,0.002366385874540411
elonmusk,Elon Musk,2016-06-20,4229848,53,1931,8820.0,0.0020895383778549714
elonmusk,Elon Musk,2016-06-21,4239303,53,1932,9455.0,0.002235304909301794
elonmusk,Elon Musk,2016-06-22,4247483,53,1932,8180.0,0.001929562477605451
elonmusk,Elon Musk,2016-06-23,4255290,52,1932,7807.0,0.0018380297225439879
elonmusk,Elon Musk,2016-06-24,4262585,52,1933,7295.0,0.0017143367432066459
elonmusk,Elon Musk,2016-06-25,4269631,51,1933,7046.0,0.0016529875650572734
elonmusk,Elon Musk,2016-06-26,4276651,51,1933,7020.0,0.0016441701870724135
elonmusk,Elon Musk,2016-06-27,4284184,51,1937,7533.0,0.0017614250028819
elonmusk,Elon Musk,2016-06-28,4292520,51,1938,8336.0,0.0019457614332156759
elonmusk,Elon Musk,2016-06-29,4297226,51,1942,4706.0,0.0010963257014526828
elonmusk,Elon Musk,2016-06-30,4308809,51,1944,11583.0,0.0026954598152388876
elonmusk,Elon Musk,2016-07-01,4317902,51,1944,9093.0,0.0021103279351673
elonmusk,Elon Musk,2016-07-02,4324690,51,1944,6788.0,0.001572059764209488
elonmusk,Elon Musk,2016-07-03,4331597,51,1944,6907.0,0.001597108694495919
elonmusk,Elon Musk,2016-07-04,4339375,51,1944,7778.0,0.0017956425770910833
elonmusk,Elon Musk,2016-07-05,4347822,51,1950,8447.0,0.0019465936914877524
elonmusk,Elon Musk,2016-07-06,4354137,51,1958,6315.0,0.0014524513653042526
elonmusk,Elon Musk,2016-07-07,4360893,51,1959,6756.0,0.0015516277967366765
elonmusk,Elon Musk,2016-07-08,4367469,51,1964,6576.0,0.0015079480280759672
elonmusk,Elon Musk,2016-07-09,4373473,51,1967,6004.0,0.0013747092423552765
elonmusk,Elon Musk,2016-07-10,4382361,51,1988,8888.0,0.0020322521712150543
elonmusk,Elon Musk,2016-07-11,4392654,51,1989,10293.0,0.0023487339358851944
elonmusk,Elon Musk,2016-07-12,4402149,51,1992,9495.0,0.002161563373759945
elonmusk,Elon Musk,2016-07-13,4409705,51,1993,7556.0,0.0017164344051052716
elonmusk,Elon Musk,2016-07-14,4418013,51,1997,8308.0,0.0018840262557244802
elonmusk,Elon Musk,2016-07-15,4426950,51,2009,8937.0,0.0020228550708203397
elonmusk,Elon Musk,2016-07-16,4434527,51,2017,7577.0,0.0017115621364596212
elonmusk,Elon Musk,2016-07-17,4442103,51,2030,7576.0,0.0017084121936792318
elonmusk,Elon Musk,2016-07-18,4441485,51,2039,-618.0,-0.0001391232936291953
elonmusk,Elon Musk,2016-07-19,4456311,51,2042,14826.0,0.0033380727391851828
elonmusk,Elon Musk,2016-07-20,4475497,51,2052,19186.0,0.004305354810290485
elonmusk,Elon Musk,2016-07-21,4490810,51,2057,15313.0,0.003421519442421639
elonmusk,Elon Musk,2016-07-22,4502282,51,2058,11472.0,0.0025545502927089014
elonmusk,Elon Musk,2016-07-23,4513346,51,2060,11064.0,0.0024574204814358236
elonmusk,Elon Musk,2016-07-24,4523943,51,2060,10597.0,0.0023479254637246427
elonmusk,Elon Musk,2016-07-25,4535413,51,2061,11470.0,0.0025353988765994817
elonmusk,Elon Musk,2016-07-26,4547120,51,2064,11707.0,0.0025812423256712513
elonmusk,Elon Musk,2016-07-27,4559588,51,2070,12468.0,0.0027419553475607206
elonmusk,Elon Musk,2016-07-28,4571127,51,2071,11539.0,0.002530711108108985
elonmusk,Elon Musk,2016-07-29,4582396,51,2077,11269.0,0.0024652563798817084
elonmusk,Elon Musk,2016-07-30,4593687,51,2084,11291.0,0.002463994818431292
elonmusk,Elon Musk,2016-07-31,4608885,51,2086,15198.0,0.0033084535363423484
elonmusk,Elon Musk,2016-08-01,4620402,51,2087,11517.0,0.0024988690323146656
elonmusk,Elon Musk,2016-08-02,4631912,51,2087,11510.0,0.0024911252310946264
elonmusk,Elon Musk,2016-08-03,4643126,51,2087,11214.0,0.0024210304513556657
