,id,date,tweet
3661,1054520588734058496,2018-10-22 23:51:15,@vicentes @Grimezsz Wanna buy some Bitcoin? 😉😉  https://t.co/9ZbBJ5fuVq
8806,1054520588734058496,2018-10-22 23:51:15,@vicentes @Grimezsz Wanna buy some Bitcoin? 😉😉  https://t.co/9ZbBJ5fuVq
13829,1340588909974200321,2020-12-20 09:24:37,Bitcoin is almost as bs as fiat money
13837,1340573003579617280,2020-12-20 08:21:25,Bitcoin is my safe word
15763,1261429085999296512,2020-05-15 22:51:44,@jk_rowling I still only own 0.25 Bitcoins btw
15764,1261416824459030529,2020-05-15 22:03:01,"@jk_rowling Pretty much, although massive currency issuance by govt central banks is making Bitcoin Internet 👻 money look solid by comparison"
16027,1256353943765921792,2020-05-01 22:44:56,@Bitcoin How much for some anime Bitcoin?  https://t.co/itqRslFNcb
16029,1256351293007736832,2020-05-01 22:34:24,@Bitcoin 🤣🤣
17062,1215526980449255424,2020-01-10 06:53:10,Bitcoin is *not* my safe word
20523,1054520588734058496,2018-10-22 23:51:15,@vicentes @Grimezsz Wanna buy some Bitcoin? 😉😉  https://t.co/9ZbBJ5fuVq
25933,1461942451053252612,2021-11-20,@WSBChairman Bitcoin cures cancer
26204,1452334458066149377,2021-10-24,"@Filasophical @ShibaInuHodler Out of curiosity, I acquired some ascii hash strings called “Bitcoin, Ethereum &amp; Doge”. That’s it.   As I’ve said before, don’t bet the farm on crypto! True value is building products &amp; providing services to your fellow human beings, not money in any form."
26207,1452332044743323654,2021-10-24,"@itsALLrisky @TeslaGong @mishaboar @DogecoinFdn Possibly. Bitcoin was conceived at a time of relatively low bandwidth &amp; high latency. If both continue to improve substantially, we will reach a point when no second layer is needed."
26949,1420529868404518913,2021-07-29,"@heydave7 We don’t have that many Bitcoin, but it’s close"
27038,1417207016519454724,2021-07-19,"@jack @BitcoinMagazine @CathieDWood Sure, I have a ton"
27039,1417204066552205332,2021-07-19,"@BitcoinMagazine @jack @CathieDWood During this talk, we will sing a cover of The Final Countdown by Europe  https://t.co/7YUXiW8dhd"
27330,1408246534093918210,2021-06-25,“That’s not funny!” – Bitcoin maxis
27331,1408246196603346947,2021-06-25,How many Bitcoin maxis does it take to screw in a lightbulb?
27333,1408244494567456769,2021-06-25,@jack Oh right … Bitcoin haha
27366,1405482221666852871,2021-06-17,@BitcoinMagazine @jespow Based on what data?
27398,1404132183254523905,2021-06-13,"@Cointelegraph This is inaccurate. Tesla only sold ~10% of holdings to confirm BTC could be liquidated easily without moving market.  When there’s confirmation of reasonable (~50%) clean energy usage by miners with positive future trend, Tesla will resume allowing Bitcoin transactions."
27456,1401091921746006017,2021-06-05,@lexfridman @VitalikButerin @ethereum @Bitcoin @dogecoin @ShibainuCoin @IOHK_Charles @Cardano @chainlink @0xPolygon I pretty much agree with Vitalik
27472,1400620080090730501,2021-06-04,#Bitcoin 💔  https://t.co/lNnEfMdtJf
27544,1396914548167233537,2021-05-24,Spoke with North American Bitcoin miners. They committed to publish current &amp; planned renewable usage &amp; to ask miners WW to do so. Potentially promising.
27560,1395472799020421120,2021-05-21,@TeslaGong @wintonARK Bitcoin hashing (aka mining) energy usage is starting to exceed that of medium-sized countries. Almost impossible for small hashers to succeed without those massive economies of scale.
27595,1394170030741413888,2021-05-17,"@BTC_Archive To clarify speculation, Tesla has not sold any Bitcoin"
27599,1393993975019749382,2021-05-16,"@ChainLinkGod @PeterMcCormack Bitcoin is actually highly centralized, with supermajority controlled by handful of big mining (aka hashing) companies.   A single coal mine in Xinjiang flooded, almost killing miners, and Bitcoin hash rate dropped 35%. Sound “decentralized” to you?   https://t.co/Oom8yzGRNQ"
27600,1393991411524120576,2021-05-16,"@poisonouspinups @michael_saylor He should wear outfit for Halloween, but with “Bitcoin” tattooed high on thighs"
27622,1392602041025843203,2021-05-13,Tesla &amp; Bitcoin  https://t.co/YSswJmVZhP
27733,1386821144037236737,2021-04-27,"@stoolpresidente No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to prove liquidity of Bitcoin as an alternative to holding cash on balance sheet."
27997,1374619672973221892,2021-03-24,Pay by Bitcoin capability available outside US later this year
27998,1374619379929772034,2021-03-24,"Tesla is using only internal &amp; open source software &amp; operates Bitcoin nodes directly.  Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency."
27999,1374617643446063105,2021-03-24,You can now buy a Tesla with Bitcoin
28079,1370449101402353669,2021-03-12,BTC (Bitcoin) is an anagram of TBC(The Boring Company) What a coincidence!
28245,1362600676174557186,2021-02-19,"@business To be clear, I am *not* an investor, I am an engineer. I don’t even own any publicly traded stock besides Tesla.   However, when fiat currency has negative real interest, only a fool wouldn’t look elsewhere.   Bitcoin is almost as bs as fiat money. The key word is “almost”."
28246,1362598034866118658,2021-02-19,"@business Tesla’s action is not directly reflective of my opinion. Having some Bitcoin, which is simply a less dumb form of liquidity than cash, is adventurous enough for an S&amp;P500 company."
