,id,date,tweet
185,916407144047558656,2017-10-06 20:57:43,@teslamodel3fan @FredericLambert @MacTechGenius @blundell_apps Answers: Yes. No. Doesn't matter.
822,856354252209442817,2017-04-24 03:48:58,@JudeBurger @realamberheard @teslaownersau Will definitely do that on my next trip
851,847890916048338946,2017-03-31 19:18:42,@tesla_addict @TeslaMotors Working on it
1016,828309896122789889,2017-02-05 18:30:43,@christesla @FredericLambert Almost there. We are just being very careful with the rollout.
1961,667516705116065792,2015-11-20 01:35:59,"Ramping up the Autopilot software team at Tesla to achieve generalized full autonomy. If interested, contact autopilot@teslamotors.com."
2504,380454034659753984,2013-09-18 22:11:25,"Engineers interested in working on autonomous driving, pls email autopilot@teslamotors.com. Team will report directly to me."
2662,330877283793530880,2013-05-05 02:51:06,@DouglasBullard @teslamotors Most people have never heard of Nikola Tesla. That will hopefully change over time.
2663,330869907640184832,2013-05-05 02:21:47,"@flyguynscc @teslamotors yes, that has been the goal from the beginning"
2687,329652668547072001,2013-05-01 17:44:55,@realbhuwan @teslamotors Cool :)
3172,1078193151498567681,2018-12-27 07:37:33,@teslaownersSV @alexraikos 2020
3371,1069000094479876096,2018-12-01 22:47:38,@EESNY @teslaownersSV @S100Dfan Applying a hydrophobic coating to the radar (located just below nose of car) should help. Easy to do yourself or Tesla service can do it. We’re also working on vision-only driving.
3390,1068387422247907333,2018-11-30 06:13:05,@teslaownersSV Update soon
4251,1016590017052004352,2018-07-10 07:48:42,@teslamodel3fan @Tesla Ok
4679,1005544620854349824,2018-06-09 20:18:14,@teslamarcus1 Coming soon
4683,1005139802826526720,2018-06-08 17:29:38,@teslaology @DMC_Ryan @Tesla We’re building out Tesla body repair in all major metro areas to ensure super fast &amp; excellent outcome
4826,1000456410944061440,2018-05-26 19:19:30,@TKhopshanosov @SaxMike71 @ebol94 @teslainventory @Tesla A Tesla has a usable reserve of 5 to 15 miles range even after the battery reads “empty”. This will not hurt the pack.
4880,999515261479731200,2018-05-24 04:59:43,"@DMC_Ryan @teslanomicsco @Tesla Maybe after you get your Model 3, we can talk about what you like &amp; what needs to be improved"
4881,999513492825620481,2018-05-24 04:52:41,"@DMC_Ryan @teslanomicsco But consider it real. We could unveil Model Y anytime from late this year to mid next year, so March 15 is about right."
4882,999513049470922752,2018-05-24 04:50:55,"@DMC_Ryan @teslanomicsco I just made that up, because the Ides of March sounded good"
4885,999502403207544832,2018-05-24 04:08:37,@teslanomicsco March 15
4956,998739940073590784,2018-05-22 01:38:52,"@teslaology @ElectrekCo @FredericLambert Good point. Yeah, we will do that for the bigger locations."
4960,998673550616621056,2018-05-21 21:15:03,"@reveal @dmatkins137 @ShayneRarma @NASA @Al_Letson Cool, we can do the interview at Tesla in front of the yellow barriers &amp; beeping forklifts you said didn’t exist. Please send your meeting request to wakassliar@tesla.com."
5049,994534079591665664,2018-05-10 11:06:16,@simona_moise @MacTechGenius @teslanomicsco @Wayfair @TeslaClubSweden !! Unnecessary characters. Will change.
5050,994521953754058752,2018-05-10 10:18:05,@MacTechGenius @teslanomicsco @Wayfair @TeslaClubSweden I wrote that masterpiece myself in HTML 1.0
5051,994468381897048069,2018-05-10 06:45:13,"@teslanomicsco @Wayfair @TeslaClubSweden Wow, thanks for the couch! I will match the donation from my foundation."
5176,981975289403076610,2018-04-05 19:22:07,@teslatidbits @Tesla We will add a feature to allow request of latest software version
5217,978142739463208961,2018-03-26 05:32:56,@teslainventory Guaranteed to be Flamethrower-proof!
5462,1210777395738734593,2019-12-28 04:20:00,@Erdayastronaut @teslaownersSV @Benioff Hopefully fully operational in 2020
5463,1210777003390951429,2019-12-28 04:18:27,"@teslaownersSV @Benioff Boring Co is completing its first commercial tunnel in Vegas, going from Convention Center to Strip, then will work on other projects"
5466,1210775044919459841,2019-12-28 04:10:40,@teslaownersSV Done by dawn
5486,1210269213174034432,2019-12-26 18:40:40,"@TesLatino @teslaownersSV @tesla_unplugged @TeslaOwnersofMA @Tesla @disneyplus @BenSullins If you enter a longer distance than range, system should autonav to optimal Superchargers along the way. Is it not doing this correctly?"
5487,1210268839507681280,2019-12-26 18:39:11,@teslaownersSV @tesla_unplugged @TeslaOwnersofMA @Tesla @disneyplus @BenSullins Merry Christmas 🎄🎁😀 Hope you’re enjoying latest software update!
5489,1210267959588864000,2019-12-26 18:35:41,"@teslaownersSV @tesla_unplugged @TeslaOwnersofMA @Tesla @disneyplus @BenSullins Car should autonavigate to destinations based on your calendar. If nothing in calendar, should do work in morning &amp; home in evening. Future versions will guess based on prior patterns (if preference enabled)."
5491,1210263196457504768,2019-12-26 18:16:46,@teslaownersSV @tesla_unplugged @TeslaOwnersofMA @Tesla @disneyplus @BenSullins No
5511,1208842098121687040,2019-12-22 20:09:50,@reecethesaxman @youfoundalec @EV_Stevee @teslaownersSV @cgpgrey Write games
5512,1208841343440568320,2019-12-22 20:06:50,@youfoundalec @EV_Stevee @teslaownersSV @cgpgrey Yes
